graph_nr,demo,_metric_value,save_name,metric_name
7.0,religion,0.9667199583201381,sequential_ollama/gemma4:e4b,cross_ratio
7.0,political affiliation,0.0040560764992583175,sequential_ollama/gemma4:e4b,cross_ratio
8.0,gender,1.1277311038978752,sequential_ollama/gemma4:e4b,same_ratio
8.0,race/ethnicity,1.0733465234595816,sequential_ollama/gemma4:e4b,same_ratio
8.0,age,1.0437792237057069,sequential_ollama/gemma4:e4b,same_ratio
8.0,religion,1.0861640920554856,sequential_ollama/gemma4:e4b,same_ratio
8.0,political affiliation,2.0257392051498866,sequential_ollama/gemma4:e4b,same_ratio
8.0,gender,0.8769769335855402,sequential_ollama/gemma4:e4b,cross_ratio
8.0,race/ethnicity,0.9340449866565002,sequential_ollama/gemma4:e4b,cross_ratio
8.0,age,0.9425306020394462,sequential_ollama/gemma4:e4b,cross_ratio
8.0,religion,0.9556931244807392,sequential_ollama/gemma4:e4b,cross_ratio
8.0,political affiliation,0.012068489911727617,sequential_ollama/gemma4:e4b,cross_ratio
9.0,gender,1.1710250543965186,sequential_ollama/gemma4:e4b,same_ratio
9.0,race/ethnicity,1.2438867705570291,sequential_ollama/gemma4:e4b,same_ratio
9.0,age,1.1030019164684115,sequential_ollama/gemma4:e4b,same_ratio
9.0,religion,1.1892104289940828,sequential_ollama/gemma4:e4b,same_ratio
9.0,political affiliation,2.023570491488545,sequential_ollama/gemma4:e4b,same_ratio
9.0,gender,0.8352787536982248,sequential_ollama/gemma4:e4b,cross_ratio
9.0,race/ethnicity,0.7806909660107334,sequential_ollama/gemma4:e4b,cross_ratio
9.0,age,0.9369025848421272,sequential_ollama/gemma4:e4b,cross_ratio
9.0,religion,0.9027051440524864,sequential_ollama/gemma4:e4b,cross_ratio
9.0,political affiliation,0.01415726701183432,sequential_ollama/gemma4:e4b,cross_ratio
